method,retro_status,SMILES,JNK3,GSK3b,QED,SA,SA_norm,TPSA,TPSA_norm,LogP,LogP_norm,six_dim_mean,six_dim_min,six_dim_std,display_score,pass_6d_threshold,alert_count,alert_labels
GB-GA crossover,unsolved,CCc1ccc(Nc2nccc(C3=CCC4C=CC=CN34)n2)cc1,0.5,0.7599999904632568,0.9137645363807678,3.3753507137298584,0.7360721429189047,41.050000000000004,0.819139083118963,4.2813000000000025,0.6943154936321362,0.7372152077523381,0.5,0.12682867707739495,0.8745323400445986,True,0,Retro* unsolved; no predefined alert matched
GB-GA crossover,unsolved,Cc1cc(Nc2nccc(-c3ccccc3)n2)cc(N2CC=NC(C#N)C2)c1,0.550000011920929,0.7900000214576721,0.7536484599113464,3.3615212440490723,0.7376087506612142,77.2,0.8484403005816143,3.978600000000002,0.808307373542113,0.7480008196791482,0.550000011920929,0.09559734438814174,0.9034410888166127,True,0,Retro* unsolved; no predefined alert matched
GB-GA crossover,unsolved,C1=CC2CC=C(c3ccnc(Nc4ccccc4)n3)N2C=C1,0.5299999713897705,0.8500000238418579,0.9342708587646484,3.3541908264160156,0.7384232415093316,41.050000000000004,0.819139083118963,3.7189000000000023,0.8915014021434343,0.7938890967946676,0.5299999713897705,0.13274984670566464,0.9396141035410323,True,0,Retro* unsolved; no predefined alert matched
GB-GA crossover,unsolved,OC1CCC(Nc2nccc(C3=CNN=C(Cl)C3)n2)CC1,0.5799999833106995,0.6600000262260437,0.79618901014328,3.352872371673584,0.7385697364807129,82.42999999999999,0.7561596693777114,2.0785,0.8280326258089774,0.7264918418912375,0.5799999833106995,0.08374097739189458,0.8921177391452578,True,0,Retro* unsolved; no predefined alert matched
GB-GA crossover,unsolved,Cc1ncn(C2=CC=C(Nc3nccc(-c4cnc5ccccn45)n3)C2)n1,0.5400000214576721,0.6299999952316284,0.6050086617469788,3.342290163040161,0.7397455374399821,85.82000000000001,0.690476351178562,2.93182,0.9989675306081197,0.7006996829438239,0.5400000214576721,0.1475197177770202,0.8479477176034235,True,0,Retro* unsolved; no predefined alert matched
GB-GA crossover,unsolved,C1=CC(c2ccnc(-c3ccnc(Nc4ccccc4)n3)n2)=CC(N2CCOCC2)C1,0.5600000023841858,0.8199999928474426,0.6843530535697937,3.331632614135742,0.7409297095404731,76.06,0.8665019764346735,3.721300000000002,0.8908168968932825,0.7604336052783086,0.5600000023841858,0.11412035904145183,0.9170215700894191,True,0,Retro* unsolved; no predefined alert matched
GB-GA crossover,unsolved,C1=C(C2=CC=C(c3ccnc(NC4CCCC4)n3)CN2)CCOC1,0.5899999737739563,0.5899999737739563,0.8913018107414246,3.3227405548095703,0.74191771613227,59.07000000000001,0.9995196154216376,3.0483000000000002,0.9994817143564295,0.8020368006999457,0.5899999737739563,0.1729574775929347,0.9617410450728391,True,0,Retro* unsolved; no predefined alert matched
GB-GA crossover,unsolved,FC1=CC(N2CCOCC2)C(Nc2nccc(-c3ccccc3)n2)=C1,0.5199999809265137,0.6600000262260437,0.9286550283432007,3.316894769668579,0.7425672478146024,50.28,0.9488657073759718,3.007200000000002,0.999988480066355,0.8000127451254478,0.5199999809265137,0.1732084633693411,0.9386918930664678,True,0,Retro* unsolved; no predefined alert matched
GB-GA crossover,unsolved,CNC1=CCC(Nc2nccc(-c3ccc(Cl)cc3)n2)CS1,0.5699999928474426,0.5299999713897705,0.8920747637748718,3.3156721591949463,0.7427030934227837,49.84,0.9442658274944175,3.7752000000000017,0.8749914885878537,0.7590058562528567,0.5299999713897705,0.16016343204214895,0.9019895044655729,True,0,Retro* unsolved; no predefined alert matched
GB-GA crossover,unsolved,C1=NC(NC2CCCC2)C(Nc2nccc(-c3ccccc3)n2)=C1,0.5099999904632568,0.6899999976158142,0.8866576552391052,3.2964859008789062,0.7448348999023438,62.2,0.99731472293485,3.382100000000002,0.9680761421476888,0.7994805680505098,0.5099999904632568,0.17026147250868875,0.9354544179386179,True,0,Retro* unsolved; no predefined alert matched
