generated_scaffold,nearest_reference_scaffold,max_tanimoto_similarity
O=c1nc(Nc2nccc(-c3ccnc(NC4CC4)n3)n2)cc[nH]1,c1ccn2c(-c3ccnc(NC4CCNCC4)n3)cnc2c1,0.32967032967032966
c1cc(-c2cnc3c(n2)N(C2CC2)CCC3)nc(NC2CC2)n1,c1cnn2ncc(-c3ccnc(NC4CC4)n3)c2c1,0.32967032967032966
c1cc(-c2cn[nH]c2)nc(NC2CCN(C3CCCSC3)CC2)n1,c1ccc(Cn2cc(-c3ccnc(NC4CCCCC4)n3)cn2)cc1,0.3300970873786408
C1=CC(N2CCCC(Nc3nccc(-c4cn[nH]c4)n3)CC2)=CC1,c1ccc(Cn2cc(-c3ccnc(NC4CCCCC4)n3)cn2)cc1,0.330188679245283
c1cc(Nc2ccncn2)nc(-c2ccnc(NC3CC3)n2)c1,c1cnn2ncc(-c3ccnc(NC4CC4)n3)c2c1,0.3333333333333333
O=C1CCC(Nc2nccc(-c3ccc[nH]3)n2)CC1,c1cnc2[nH]cc(-c3ccnc(NC4CCCCC4)n3)c2c1,0.3333333333333333
C=C1C(=O)C=Cc2cc(-c3ccnc(NC4CC4)n3)cnc21,c1cnn2ncc(-c3ccnc(NC4CC4)n3)c2c1,0.3333333333333333
O=C(c1ccc(Nc2nccc(-c3cnn(C4CC4)c3)n2)cc1)N1CCCC1,c1ccc(-c2ccnc(Nc3ccc(-n4cncn4)cc3)n2)cc1,0.3333333333333333
O=C1CCC(Nc2nccc(-c3ccc(NC4CC4)cc3)n2)=N1,c1ccc(Nc2nccc(-c3ccccc3)n2)cc1,0.3333333333333333
c1cc(-c2cn[nH]c2)nc(NC2CCCSC2)n1,c1cc(-c2cn[nH]c2C2CCCCC2)nc(NC2CCCC2)n1,0.3333333333333333
O=c1cc(-c2ccnc(Nc3ccc(C4C=CCC4)cc3)n2)cc[nH]1,c1ccc(Nc2nccc(-c3ccnc(-c4ccccc4)c3)n2)cc1,0.3333333333333333
O=C(c1ccc(Nc2nccc(-c3cnn(CC4CC4)c3)n2)cc1)N1CCCC1,c1ccc(-c2ccnc(Nc3ccc(-n4cncn4)cc3)n2)cc1,0.33663366336633666
c1ccc(-c2cc(-c3ccnc(NC4CCCOC4)n3)co2)cc1,c1ccc(Cn2cc(-c3ccnc(NC4CCCCC4)n3)cn2)cc1,0.33663366336633666
O=C(c1ccc(Nc2nccc(-c3ccn(CC4CC4)c3)n2)cc1)N1CCCC1,c1ccc(-c2ccnc(Nc3ccc(-n4cncn4)cc3)n2)cc1,0.33663366336633666
c1ccc(Nc2cc(-c3cn[nH]c3C3CCCC3)ccn2)cc1,c1ccc(-c2n[nH]cc2-c2ccnc(Nc3ccc(N4CCOCC4)cc3)c2)cc1,0.336734693877551
O=C1CCC(Nc2ccc(-c3ccnc(NC4CC4)n3)cc2)=N1,c1ccc(-c2nc(C3CCNCC3)[nH]c2-c2ccnc(NC3CC3)n2)cc1,0.3368421052631579
c1cc(-c2ccnc(NC3CC3)n2)cc(NCC2CC2)n1,c1ccc(Cn2cc(-c3ccnc(NC4CCCCC4)n3)cn2)cc1,0.33695652173913043
O=c1nc(-c2ccc[nH]2)cc(-c2ccnc(NC3CC3)n2)[nH]1,c1cnn2ncc(-c3ccnc(NC4CC4)n3)c2c1,0.33707865168539325
